Time(s),Voltage(V)
-9.0680000000,-0.0049375000
-9.0640000000,-0.0050625000
-9.0600000000,-0.0049218750
-9.0560000000,-0.0052187500
-9.0520000000,-0.0049062500
-9.0480000000,-0.0047343750
-9.0440000000,-0.0050000000
-9.0400000000,-0.0051406250
-9.0360000000,-0.0049375000
-9.0320000000,-0.0051406250
-9.0280000000,-0.0050156250
-9.0240000000,-0.0049531250
-9.0200000000,-0.0049687500
-9.0160000000,-0.0051093750
-9.0120000000,-0.0050781250
-9.0080000000,-0.0047343750
-9.0040000000,-0.0049531250
-9.0000000000,-0.0050000000
-8.9960000000,-0.0050781250
-8.9920000000,-0.0050156250
-8.9880000000,-0.0052343750
-8.9840000000,-0.0051250000
-8.9800000000,-0.0049218750
-8.9760000000,-0.0049062500
-8.9720000000,-0.0051406250
-8.9680000000,-0.0049375000
-8.9640000000,-0.0050781250
-8.9600000000,-0.0049687500
-8.9560000000,-0.0049531250
-8.9520000000,-0.0049062500
-8.9480000000,-0.0052187500
-8.9440000000,-0.0049218750
-8.9400000000,-0.0050000000
-8.9360000000,-0.0048906250
-8.9320000000,-0.0049218750
-8.9280000000,-0.0050468750
-8.9240000000,-0.0050937500
-8.9200000000,-0.0049375000
-8.9160000000,-0.0048750000
-8.9120000000,-0.0052031250
-8.9080000000,-0.0048906250
-8.9040000000,-0.0050625000
-8.9000000000,-0.0051250000
-8.8960000000,-0.0050781250
-8.8920000000,-0.0049218750
-8.8880000000,-0.0051406250
-8.8840000000,-0.0049843750
-8.8800000000,-0.0049062500
-8.8760000000,-0.0049531250
-8.8720000000,-0.0051718750
-8.8680000000,-0.0051093750
-8.8640000000,-0.0050937500
-8.8600000000,-0.0050781250
-8.8560000000,-0.0050468750
-8.8520000000,-0.0050625000
-8.8480000000,-0.0050625000
-8.8440000000,-0.0051562500
-8.8400000000,-0.0051875000
-8.8360000000,-0.0049218750
-8.8320000000,-0.0049062500
-8.8280000000,-0.0050000000
-8.8240000000,-0.0049062500
-8.8200000000,-0.0051718750
-8.8160000000,-0.0047812500
-8.8120000000,-0.0051250000
-8.8080000000,-0.0050156250
-8.8040000000,-0.0050312500
-8.8000000000,-0.0050468750
-8.7960000000,-0.0049375000
-8.7920000000,-0.0049062500
-8.7880000000,-0.0050468750
-8.7840000000,-0.0050625000
-8.7800000000,-0.0049375000
-8.7760000000,-0.0049843750
-8.7720000000,-0.0051406250
-8.7680000000,-0.0050937500
-8.7640000000,-0.0049218750
-8.7600000000,-0.0051250000
-8.7560000000,-0.0050156250
-8.7520000000,-0.0050000000
-8.7480000000,-0.0050625000
-8.7440000000,-0.0051250000
-8.7400000000,-0.0050312500
-8.7360000000,-0.0051562500
-8.7320000000,-0.0051250000
-8.7280000000,-0.0050937500
-8.7240000000,-0.0049843750
-8.7200000000,-0.0050156250
-8.7160000000,-0.0051562500
-8.7120000000,-0.0051093750
-8.7080000000,-0.0048906250
-8.7040000000,-0.0051093750
-8.7000000000,-0.0048906250
-8.6960000000,-0.0049218750
-8.6920000000,-0.0052968750
-8.6880000000,-0.0048281250
-8.6840000000,-0.0050937500
-8.6800000000,-0.0050156250
-8.6760000000,-0.0050312500
-8.6720000000,-0.0050937500
-8.6680000000,-0.0052187500
-8.6640000000,-0.0048750000
-8.6600000000,-0.0049687500
-8.6560000000,-0.0050625000
-8.6520000000,-0.0048125000
-8.6480000000,-0.0050937500
-8.6440000000,-0.0049687500
-8.6400000000,-0.0050781250
-8.6360000000,-0.0050156250
-8.6320000000,-0.0050625000
-8.6280000000,-0.0050781250
-8.6240000000,-0.0045625000
-8.6200000000,-0.0051250000
-8.6160000000,-0.0049062500
-8.6120000000,-0.0048750000
-8.6080000000,-0.0050625000
-8.6040000000,-0.0052187500
-8.6000000000,-0.0049062500
-8.5960000000,-0.0050468750
-8.5920000000,-0.0048437500
-8.5880000000,-0.0051406250
-8.5840000000,-0.0051562500
-8.5800000000,-0.0052812500
-8.5760000000,-0.0050625000
-8.5720000000,-0.0047812500
-8.5680000000,-0.0049531250
-8.5640000000,-0.0051718750
-8.5600000000,-0.0052031250
-8.5560000000,-0.0050000000
-8.5520000000,-0.0049687500
-8.5480000000,-0.0049375000
-8.5440000000,-0.0052031250
-8.5400000000,-0.0050000000
-8.5360000000,-0.0048437500
-8.5320000000,-0.0049843750
-8.5280000000,-0.0052343750
-8.5240000000,-0.0049531250
-8.5200000000,-0.0050000000
-8.5160000000,-0.0049375000
-8.5120000000,-0.0049843750
-8.5080000000,-0.0050937500
-8.5040000000,-0.0051093750
-8.5000000000,-0.0051093750
-8.4960000000,-0.0045000000
-8.4920000000,-0.0050312500
-8.4880000000,-0.0050625000
-8.4840000000,-0.0052187500
-8.4800000000,-0.0051093750
-8.4760000000,-0.0052500000
-8.4720000000,-0.0050937500
-8.4680000000,-0.0050937500
-8.4640000000,-0.0050937500
-8.4600000000,-0.0049218750
-8.4560000000,-0.0050468750
-8.4520000000,-0.0051093750
-8.4480000000,-0.0051406250
-8.4440000000,-0.0048906250
-8.4400000000,-0.0049531250
-8.4360000000,-0.0051718750
-8.4320000000,-0.0047968750
-8.4280000000,-0.0051406250
-8.4240000000,-0.0049687500
-8.4200000000,-0.0049687500
-8.4160000000,-0.0050625000
-8.4120000000,-0.0050468750
-8.4080000000,-0.0049218750
-8.4040000000,-0.0049218750
-8.4000000000,-0.0052812500
-8.3960000000,-0.0049062500
-8.3920000000,-0.0048437500
-8.3880000000,-0.0049843750
-8.3840000000,-0.0049218750
-8.3800000000,-0.0049687500
-8.3760000000,-0.0052187500
-8.3720000000,-0.0050156250
-8.3680000000,-0.0051406250
-8.3640000000,-0.0048593750
-8.3600000000,-0.0049531250
-8.3560000000,-0.0050625000
-8.3520000000,-0.0050625000
-8.3480000000,-0.0051250000
-8.3440000000,-0.0050156250
-8.3400000000,-0.0049531250
-8.3360000000,-0.0048437500
-8.3320000000,-0.0051875000
-8.3280000000,-0.0050312500
-8.3240000000,-0.0049375000
-8.3200000000,-0.0050781250
-8.3160000000,-0.0050000000
-8.3120000000,-0.0048906250
-8.3080000000,-0.0051562500
-8.3040000000,-0.0047656250
-8.3000000000,-0.0050937500
-8.2960000000,-0.0050468750
-8.2920000000,-0.0049531250
-8.2880000000,-0.0051562500
-8.2840000000,-0.0048281250
-8.2800000000,-0.0048593750
-8.2760000000,-0.0051250000
-8.2720000000,-0.0050468750
-8.2680000000,-0.0048906250
-8.2640000000,-0.0050312500
-8.2600000000,-0.0050781250
-8.2560000000,-0.0049843750
-8.2520000000,-0.0051875000
-8.2480000000,-0.0049375000
-8.2440000000,-0.0051875000
-8.2400000000,-0.0047343750
-8.2360000000,-0.0049687500
-8.2320000000,-0.0050625000
-8.2280000000,-0.0049531250
-8.2240000000,-0.0049375000
-8.2200000000,-0.0052031250
-8.2160000000,-0.0050156250
-8.2120000000,-0.0049218750
-8.2080000000,-0.0051250000
-8.2040000000,-0.0051875000
-8.2000000000,-0.0050468750
-8.1960000000,-0.0049375000
-8.1920000000,-0.0049375000
-8.1880000000,-0.0050312500
-8.1840000000,-0.0049218750
-8.1800000000,-0.0050781250
-8.1760000000,-0.0048125000
-8.1720000000,-0.0048906250
-8.1680000000,-0.0049531250
-8.1640000000,-0.0049062500
-8.1600000000,-0.0050781250
-8.1560000000,-0.0049218750
-8.1520000000,-0.0049843750
-8.1480000000,-0.0049375000
-8.1440000000,-0.0051718750
-8.1400000000,-0.0050312500
-8.1360000000,-0.0048906250
-8.1320000000,-0.0050312500
-8.1280000000,-0.0050625000
-8.1240000000,-0.0050312500
-8.1200000000,-0.0050781250
-8.1160000000,-0.0050156250
-8.1120000000,-0.0047500000
-8.1080000000,-0.0049843750
-8.1040000000,-0.0051562500
-8.1000000000,-0.0050781250
-8.0960000000,-0.0050312500
-8.0920000000,-0.0050937500
-8.0880000000,-0.0049062500
-8.0840000000,-0.0050156250
-8.0800000000,-0.0050156250
-8.0760000000,-0.0051406250
-8.0720000000,-0.0049687500
-8.0680000000,-0.0050312500
-8.0640000000,-0.0050312500
-8.0600000000,-0.0048125000
-8.0560000000,-0.0049062500
-8.0520000000,-0.0052187500
-8.0480000000,-0.0048437500
-8.0440000000,-0.0048750000
-8.0400000000,-0.0049531250
-8.0360000000,-0.0048593750
-8.0320000000,-0.0051093750
-8.0280000000,-0.0051093750
-8.0240000000,-0.0048125000
-8.0200000000,-0.0050000000
-8.0160000000,-0.0050000000
-8.0120000000,-0.0049375000
-8.0080000000,-0.0048437500
-8.0040000000,-0.0049687500
-8.0000000000,-0.0050625000
-7.9960000000,-0.0048906250
-7.9920000000,-0.0052187500
-7.9880000000,-0.0050937500
-7.9840000000,-0.0047031250
-7.9800000000,-0.0050312500
-7.9760000000,-0.0050000000
-7.9720000000,-0.0050156250
-7.9680000000,-0.0052031250
-7.9640000000,-0.0051093750
-7.9600000000,-0.0049062500
-7.9560000000,-0.0049687500
-7.9520000000,-0.0049843750
-7.9480000000,-0.0050156250
-7.9440000000,-0.0050156250
-7.9400000000,-0.0050312500
-7.9360000000,-0.0049687500
-7.9320000000,-0.0048281250
-7.9280000000,-0.0048593750
-7.9240000000,-0.0050000000
-7.9200000000,-0.0048281250
-7.9160000000,-0.0050312500
-7.9120000000,-0.0050000000
-7.9080000000,-0.0049375000
-7.9040000000,-0.0051250000
-7.9000000000,-0.0048125000
-7.8960000000,-0.0050781250
-7.8920000000,-0.0050000000
-7.8880000000,-0.0051875000
-7.8840000000,-0.0050625000
-7.8800000000,-0.0049375000
-7.8760000000,-0.0050312500
-7.8720000000,-0.0050937500
-7.8680000000,-0.0049843750
-7.8640000000,-0.0051875000
-7.8600000000,-0.0051250000
-7.8560000000,-0.0047187500
-7.8520000000,-0.0049218750
-7.8480000000,-0.0049843750
-7.8440000000,-0.0049843750
-7.8400000000,-0.0049218750
-7.8360000000,-0.0050468750
-7.8320000000,-0.0047812500
-7.8280000000,-0.0050156250
-7.8240000000,-0.0048125000
-7.8200000000,-0.0051406250
-7.8160000000,-0.0049375000
-7.8120000000,-0.0049843750
-7.8080000000,-0.0050468750
-7.8040000000,-0.0049687500
-7.8000000000,-0.0048281250
-7.7960000000,-0.0051875000
-7.7920000000,-0.0047968750
-7.7880000000,-0.0050312500
-7.7840000000,-0.0049375000
-7.7800000000,-0.0051250000
-7.7760000000,-0.0051562500
-7.7720000000,-0.0048750000
-7.7680000000,-0.0050000000
-7.7640000000,-0.0049687500
-7.7600000000,-0.0050937500
-7.7560000000,-0.0050468750
-7.7520000000,-0.0049687500
-7.7480000000,-0.0050312500
-7.7440000000,-0.0051718750
-7.7400000000,-0.0050468750
-7.7360000000,-0.0049687500
-7.7320000000,-0.0050000000
-7.7280000000,-0.0047968750
-7.7240000000,-0.0050937500
-7.7200000000,-0.0051093750
-7.7160000000,-0.0050000000
-7.7120000000,-0.0050156250
-7.7080000000,-0.0051406250
-7.7040000000,-0.0049687500
-7.7000000000,-0.0049218750
-7.6960000000,-0.0050156250
-7.6920000000,-0.0049218750
-7.6880000000,-0.0049687500
-7.6840000000,-0.0050000000
-7.6800000000,-0.0049843750
-7.6760000000,-0.0049218750
-7.6720000000,-0.0048593750
-7.6680000000,-0.0052500000
-7.6640000000,-0.0050312500
-7.6600000000,-0.0050468750
-7.6560000000,-0.0049531250
-7.6520000000,-0.0049687500
-7.6480000000,-0.0050468750
-7.6440000000,-0.0047343750
-7.6400000000,-0.0048437500
-7.6360000000,-0.0049375000
-7.6320000000,-0.0050937500
-7.6280000000,-0.0049843750
-7.6240000000,-0.0049531250
-7.6200000000,-0.0049218750
-7.6160000000,-0.0051250000
-7.6120000000,-0.0051406250
-7.6080000000,-0.0049687500
-7.6040000000,-0.0049375000
-7.6000000000,-0.0045781250
-7.5960000000,-0.0050781250
-7.5920000000,-0.0051562500
-7.5880000000,-0.0050937500
-7.5840000000,-0.0051718750
-7.5800000000,-0.0052031250
-7.5760000000,-0.0050781250
-7.5720000000,-0.0050781250
-7.5680000000,-0.0050937500
-7.5640000000,-0.0050468750
-7.5600000000,-0.0051406250
-7.5560000000,-0.0050156250
-7.5520000000,-0.0050625000
-7.5480000000,-0.0051406250
-7.5440000000,-0.0050000000
-7.5400000000,-0.0051562500
-7.5360000000,-0.0048281250
-7.5320000000,-0.0052031250
-7.5280000000,-0.0050468750
-7.5240000000,-0.0050000000
-7.5200000000,-0.0050937500
-7.5160000000,-0.0047968750
-7.5120000000,-0.0049375000
-7.5080000000,-0.0049843750
-7.5040000000,-0.0051718750
-7.5000000000,-0.0050937500
-7.4960000000,-0.0049843750
-7.4920000000,-0.0049531250
-7.4880000000,-0.0049062500
-7.4840000000,-0.0050156250
-7.4800000000,-0.0052500000
-7.4760000000,-0.0050937500
-7.4720000000,-0.0045781250
-7.4680000000,-0.0050781250
-7.4640000000,-0.0051562500
-7.4600000000,-0.0048906250
-7.4560000000,-0.0051875000
-7.4520000000,-0.0051562500
-7.4480000000,-0.0049062500
-7.4440000000,-0.0051875000
-7.4400000000,-0.0050468750
-7.4360000000,-0.0049531250
-7.4320000000,-0.0051875000
-7.4280000000,-0.0050937500
-7.4240000000,-0.0050468750
-7.4200000000,-0.0051093750
-7.4160000000,-0.0048906250
-7.4120000000,-0.0052500000
-7.4080000000,-0.0048125000
-7.4040000000,-0.0051406250
-7.4000000000,-0.0049843750
-7.3960000000,-0.0048750000
-7.3920000000,-0.0049531250
-7.3880000000,-0.0048906250
-7.3840000000,-0.0050156250
-7.3800000000,-0.0048593750
-7.3760000000,-0.0052500000
-7.3720000000,-0.0050156250
-7.3680000000,-0.0049687500
-7.3640000000,-0.0049375000
-7.3600000000,-0.0049843750
-7.3560000000,-0.0050781250
-7.3520000000,-0.0050000000
-7.3480000000,-0.0050937500
-7.3440000000,-0.0050312500
-7.3400000000,-0.0049687500
-7.3360000000,-0.0048750000
-7.3320000000,-0.0050625000
-7.3280000000,-0.0050156250
-7.3240000000,-0.0051562500
-7.3200000000,-0.0050000000
-7.3160000000,-0.0050000000
-7.3120000000,-0.0049687500
-7.3080000000,-0.0050000000
-7.3040000000,-0.0051718750
-7.3000000000,-0.0050000000
-7.2960000000,-0.0051406250
-7.2920000000,-0.0049687500
-7.2880000000,-0.0049687500
-7.2840000000,-0.0051250000
-7.2800000000,-0.0048125000
-7.2760000000,-0.0050625000
-7.2720000000,-0.0049687500
-7.2680000000,-0.0049375000
-7.2640000000,-0.0051093750
-7.2600000000,-0.0049843750
-7.2560000000,-0.0048593750
-7.2520000000,-0.0049687500
-7.2480000000,-0.0051093750
-7.2440000000,-0.0050625000
-7.2400000000,-0.0049375000
-7.2360000000,-0.0050000000
-7.2320000000,-0.0050937500
-7.2280000000,-0.0049531250
-7.2240000000,-0.0050937500
-7.2200000000,-0.0049375000
-7.2160000000,-0.0047187500
-7.2120000000,-0.0050781250
-7.2080000000,-0.0051718750
-7.2040000000,-0.0049531250
-7.2000000000,-0.0050625000
-7.1960000000,-0.0050625000
-7.1920000000,-0.0049843750
-7.1880000000,-0.0051250000
-7.1840000000,-0.0050468750
-7.1800000000,-0.0048593750
-7.1760000000,-0.0050312500
-7.1720000000,-0.0049687500
-7.1680000000,-0.0049375000
-7.1640000000,-0.0049687500
-7.1600000000,-0.0048906250
-7.1560000000,-0.0051250000
-7.1520000000,-0.0048281250
-7.1480000000,-0.0050468750
-7.1440000000,-0.0049375000
-7.1400000000,-0.0048593750
-7.1360000000,-0.0050156250
-7.1320000000,-0.0047812500
-7.1280000000,-0.0047968750
-7.1240000000,-0.0049375000
-7.1200000000,-0.0052031250
-7.1160000000,-0.0051093750
-7.1120000000,-0.0048906250
-7.1080000000,-0.0048750000
-7.1040000000,-0.0050468750
-7.1000000000,-0.0049843750
-7.0960000000,-0.0051562500
-7.0920000000,-0.0050156250
-7.0880000000,-0.0045312500
-7.0840000000,-0.0051562500
-7.0800000000,-0.0050625000
-7.0760000000,-0.0049218750
-7.0720000000,-0.0050156250
-7.0680000000,-0.0051718750
-7.0640000000,-0.0049843750
-7.0600000000,-0.0049843750
-7.0560000000,-0.0050156250
-7.0520000000,-0.0050312500
-7.0480000000,-0.0051562500
-7.0440000000,-0.0050468750
-7.0400000000,-0.0050000000
-7.0360000000,-0.0049843750
-7.0320000000,-0.0048750000
-7.0280000000,-0.0050625000
-7.0240000000,-0.0048437500
-7.0200000000,-0.0050781250
-7.0160000000,-0.0051406250
-7.0120000000,-0.0049531250
-7.0080000000,-0.0049843750
-7.0040000000,-0.0049531250
-7.0000000000,-0.0049687500
-6.9960000000,-0.0049843750
-6.9920000000,-0.0051093750
-6.9880000000,-0.0049843750
-6.9840000000,-0.0050000000
-6.9800000000,-0.0050468750
-6.9760000000,-0.0050312500
-6.9720000000,-0.0052031250
-6.9680000000,-0.0050625000
-6.9640000000,-0.0049218750
-6.9600000000,-0.0049375000
-6.9560000000,-0.0050781250
-6.9520000000,-0.0051406250
-6.9480000000,-0.0048437500
-6.9440000000,-0.0050781250
-6.9400000000,-0.0051875000
-6.9360000000,-0.0050625000
-6.9320000000,-0.0050937500
-6.9280000000,-0.0050156250
-6.9240000000,-0.0049531250
-6.9200000000,-0.0050937500
-6.9160000000,-0.0050156250
-6.9120000000,-0.0051406250
-6.9080000000,-0.0051250000
-6.9040000000,-0.0047812500
-6.9000000000,-0.0050625000
-6.8960000000,-0.0049218750
-6.8920000000,-0.0051093750
-6.8880000000,-0.0049843750
-6.8840000000,-0.0049687500
-6.8800000000,-0.0050000000
-6.8760000000,-0.0049062500
-6.8720000000,-0.0048437500
-6.8680000000,-0.0050000000
-6.8640000000,-0.0050156250
-6.8600000000,-0.0049687500
-6.8560000000,-0.0048437500
-6.8520000000,-0.0049843750
-6.8480000000,-0.0049687500
-6.8440000000,-0.0052031250
-6.8400000000,-0.0050312500
-6.8360000000,-0.0050156250
-6.8320000000,-0.0047187500
-6.8280000000,-0.0050625000
-6.8240000000,-0.0051406250
-6.8200000000,-0.0051250000
-6.8160000000,-0.0050625000
-6.8120000000,-0.0052656250
-6.8080000000,-0.0049531250
-6.8040000000,-0.0050312500
-6.8000000000,-0.0051093750
-6.7960000000,-0.0049218750
-6.7920000000,-0.0051093750
-6.7880000000,-0.0050468750
-6.7840000000,-0.0051718750
-6.7800000000,-0.0050000000
-6.7760000000,-0.0048750000
-6.7720000000,-0.0050312500
-6.7680000000,-0.0048906250
-6.7640000000,-0.0050156250
-6.7600000000,-0.0049843750
-6.7560000000,-0.0049375000
-6.7520000000,-0.0052187500
-6.7480000000,-0.0048281250
-6.7440000000,-0.0050156250
-6.7400000000,-0.0048437500
-6.7360000000,-0.0050156250
-6.7320000000,-0.0050937500
-6.7280000000,-0.0049687500
-6.7240000000,-0.0049843750
-6.7200000000,-0.0049062500
-6.7160000000,-0.0051562500
-6.7120000000,-0.0052187500
-6.7080000000,-0.0050156250
-6.7040000000,-0.0048593750
-6.7000000000,-0.0051562500
-6.6960000000,-0.0050312500
-6.6920000000,-0.0049531250
-6.6880000000,-0.0050468750
-6.6840000000,-0.0050781250
-6.6800000000,-0.0049687500
-6.6760000000,-0.0050625000
-6.6720000000,-0.0050312500
-6.6680000000,-0.0049375000
-6.6640000000,-0.0051562500
-6.6600000000,-0.0049218750
-6.6560000000,-0.0050468750
-6.6520000000,-0.0047968750
-6.6480000000,-0.0050937500
-6.6440000000,-0.0050468750
-6.6400000000,-0.0048281250
-6.6360000000,-0.0049843750
-6.6320000000,-0.0049843750
-6.6280000000,-0.0047968750
-6.6240000000,-0.0051406250
-6.6200000000,-0.0048906250
-6.6160000000,-0.0049375000
-6.6120000000,-0.0051093750
-6.6080000000,-0.0050312500
-6.6040000000,-0.0049375000
-6.6000000000,-0.0048125000
-6.5960000000,-0.0050312500
-6.5920000000,-0.0050937500
-6.5880000000,-0.0050312500
-6.5840000000,-0.0051406250
-6.5800000000,-0.0049375000
-6.5760000000,-0.0046875000
-6.5720000000,-0.0051250000
-6.5680000000,-0.0049843750
-6.5640000000,-0.0048750000
-6.5600000000,-0.0049843750
-6.5560000000,-0.0052343750
-6.5520000000,-0.0049218750
-6.5480000000,-0.0052500000
-6.5440000000,-0.0050000000
-6.5400000000,-0.0050156250
-6.5360000000,-0.0051718750
-6.5320000000,-0.0051875000
-6.5280000000,-0.0050468750
-6.5240000000,-0.0050000000
-6.5200000000,-0.0049218750
-6.5160000000,-0.0049687500
-6.5120000000,-0.0050156250
-6.5080000000,-0.0051406250
-6.5040000000,-0.0049218750
-6.5000000000,-0.0047968750
-6.4960000000,-0.0050625000
-6.4920000000,-0.0047968750
-6.4880000000,-0.0048437500
-6.4840000000,-0.0050468750
-6.4800000000,-0.0049687500
-6.4760000000,-0.0050000000
-6.4720000000,-0.0049375000
-6.4680000000,-0.0051406250
-6.4640000000,-0.0050937500
-6.4600000000,-0.0050312500
-6.4560000000,-0.0050000000
-6.4520000000,-0.0048906250
-6.4480000000,-0.0048281250
-6.4440000000,-0.0051718750
-6.4400000000,-0.0051406250
-6.4360000000,-0.0050781250
-6.4320000000,-0.0048750000
-6.4280000000,-0.0052343750
-6.4240000000,-0.0048593750
-6.4200000000,-0.0050781250
-6.4160000000,-0.0050156250
-6.4120000000,-0.0050000000
-6.4080000000,-0.0050156250
-6.4040000000,-0.0050156250
-6.4000000000,-0.0051406250
-6.3960000000,-0.0049375000
-6.3920000000,-0.0048906250
-6.3880000000,-0.0051093750
-6.3840000000,-0.0048750000
-6.3800000000,-0.0049687500
-6.3760000000,-0.0050625000
-6.3720000000,-0.0049062500
-6.3680000000,-0.0050312500
-6.3640000000,-0.0049843750
-6.3600000000,-0.0048125000
-6.3560000000,-0.0050937500
-6.3520000000,-0.0051093750
-6.3480000000,-0.0050156250
-6.3440000000,-0.0047968750
-6.3400000000,-0.0048750000
-6.3360000000,-0.0050312500
-6.3320000000,-0.0052031250
-6.3280000000,-0.0051093750
-6.3240000000,-0.0049687500
-6.3200000000,-0.0049062500
-6.3160000000,-0.0051562500
-6.3120000000,-0.0050468750
-6.3080000000,-0.0050156250
-6.3040000000,-0.0049218750
-6.3000000000,-0.0052343750
-6.2960000000,-0.0049375000
-6.2920000000,-0.0049531250
-6.2880000000,-0.0049843750
-6.2840000000,-0.0050000000
